,algo,cv fold,metric,value
16,Bagging,1,test_recall,0.8456666666666667
17,Bagging,2,test_recall,0.8467916666666667
18,Bagging,3,test_recall,0.8566666666666667
19,Bagging,4,test_recall,0.84275
20,Bagging,0,test_f1,0.8503728393479051
21,Bagging,1,test_f1,0.8680923866552609
22,Bagging,2,test_f1,0.8682445422309566
23,Bagging,3,test_f1,0.8789517559797363
24,Bagging,4,test_f1,0.868254990341275
25,Bagging,0,test_roc_auc,0.894423611111111
26,Bagging,1,test_roc_auc,0.9057222222222222
27,Bagging,2,test_roc_auc,0.9060972222222223
28,Bagging,3,test_roc_auc,0.9128958333333334
29,Bagging,4,test_roc_auc,0.9049583333333333
0,AdaBoost,0,fit_time,1062.1979746818542
1,AdaBoost,1,fit_time,1057.098243713379
2,AdaBoost,2,fit_time,1057.8399181365967
3,AdaBoost,3,fit_time,1054.5359137058258
4,AdaBoost,4,fit_time,1061.2080047130585
5,AdaBoost,0,score_time,1.8827807903289795
6,AdaBoost,1,score_time,2.0749106407165527
7,AdaBoost,2,score_time,2.0739104747772217
8,AdaBoost,3,score_time,2.13493275642395
9,AdaBoost,4,score_time,1.9038097858428955
10,AdaBoost,0,test_precision,0.8385071037277869
11,AdaBoost,1,test_precision,0.8538627649728967
12,AdaBoost,2,test_precision,0.8579036123191621
13,AdaBoost,3,test_precision,0.8623743523889652
14,AdaBoost,4,test_precision,0.861283175837591
15,AdaBoost,0,test_recall,0.7844583333333334
16,AdaBoost,1,test_recall,0.8072916666666666
17,AdaBoost,2,test_recall,0.8055
18,AdaBoost,3,test_recall,0.8114583333333333
19,AdaBoost,4,test_recall,0.7937083333333333
20,AdaBoost,0,test_f1,0.8105827395431942
21,AdaBoost,1,test_f1,0.8299243965646483
22,AdaBoost,2,test_f1,0.8308763484763828
23,AdaBoost,3,test_f1,0.8361419401927742
24,AdaBoost,4,test_f1,0.826116182752564
25,AdaBoost,0,test_roc_auc,0.8670486111111111
26,AdaBoost,1,test_roc_auc,0.8806180555555555
27,AdaBoost,2,test_roc_auc,0.8805138888888888
28,AdaBoost,3,test_roc_auc,0.8841458333333334
29,AdaBoost,4,test_roc_auc,0.8755486111111112
0,Bagging,0,fit_time,250.29650473594666
1,Bagging,1,fit_time,248.52586936950684
2,Bagging,2,fit_time,242.42172622680664
3,Bagging,3,fit_time,244.76689338684082
4,Bagging,4,fit_time,249.8841028213501
5,Bagging,0,score_time,3.227205514907837
6,Bagging,1,score_time,3.3701329231262207
7,Bagging,2,score_time,4.196372032165527
8,Bagging,3,score_time,3.8710784912109375
9,Bagging,4,score_time,3.3232080936431885
10,Bagging,0,test_precision,0.8728006669299285
11,Bagging,1,test_precision,0.8921068823064077
12,Bagging,2,test_precision,0.8910413744740533
13,Bagging,3,test_precision,0.9025568930673931
14,Bagging,4,test_precision,0.8950139362031588
15,Bagging,0,test_recall,0.8288333333333333
16,Bagging,1,test_recall,0.8457916666666667
17,Bagging,2,test_recall,0.8470833333333333
18,Bagging,3,test_recall,0.856
19,Bagging,4,test_recall,0.8429166666666666
20,Bagging,0,test_f1,0.8502489795046058
