,0,1,2,3
99,Decision Tree,4,score_time,0.3630836009979248
100,Decision Tree,0,test_precision,0.7157998927702396
101,Decision Tree,1,test_precision,0.73033754400497
102,Decision Tree,2,test_precision,0.7250663942798774
103,Decision Tree,3,test_precision,0.7306433131445409
104,Decision Tree,4,test_precision,0.7186623783605476
105,Decision Tree,0,test_recall,0.7231666666666666
106,Decision Tree,1,test_recall,0.73475
107,Decision Tree,2,test_recall,0.7394166666666667
108,Decision Tree,3,test_recall,0.7439166666666667
109,Decision Tree,4,test_recall,0.7262083333333333
110,Decision Tree,0,test_f1,0.7194644226584036
111,Decision Tree,1,test_f1,0.7325371274275625
112,Decision Tree,2,test_f1,0.7321712222795255
113,Decision Tree,3,test_f1,0.7372202494012718
114,Decision Tree,4,test_f1,0.7224156511647185
115,Decision Tree,0,test_roc_auc,0.8137291666666667
116,Decision Tree,1,test_roc_auc,0.8221597222222222
117,Decision Tree,2,test_roc_auc,0.8229791666666667
118,Decision Tree,3,test_roc_auc,0.82625
119,Decision Tree,4,test_roc_auc,0.8157222222222222
